                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8829,                 4.6359,                 4.3901,                0.00076,                0.04545,                0.00044,                  9e-05,                 4.0534,                 4.2826,                 4.1591,             0.00011432,             0.00011432,             0.00011432
                      2,                 3.7724,                 4.3487,                 4.2959,                0.00141,                0.16667,                0.00112,                0.00032,                 4.0505,                 4.2836,                 4.1584,              0.0002309,              0.0002309,              0.0002309
                      3,                 3.5298,                 4.0176,                 4.2278,                0.00099,                0.18182,                0.00104,                0.00028,                 4.0475,                 4.2879,                 4.1582,             0.00033476,             0.00033476,             0.00033476
                      4,                 3.5469,                  3.414,                 4.0738,                0.00099,                0.18182,                0.00094,                0.00028,                 4.0427,                 4.2941,                 4.1589,             0.00042588,             0.00042588,             0.00042588
                      5,                 3.3029,                 2.9686,                 3.9438,                0.00109,                0.19697,                 0.0012,                 0.0003,                 4.0344,                 4.2706,                 4.1601,             0.00050427,             0.00050427,             0.00050427
                      6,                 3.0587,                 2.5691,                 3.6432,                0.00099,                0.18182,                0.00144,                0.00031,                  4.037,                 4.3231,                 4.1733,             0.00056992,             0.00056992,             0.00056992
                      7,                 2.8361,                 2.4503,                 3.4288,                0.00138,                0.18182,                0.00162,                0.00044,                 4.0251,                 4.3006,                 4.1683,             0.00062284,             0.00062284,             0.00062284
                      8,                 2.7534,                 2.2273,                 3.2996,                0.00092,                0.19697,                0.00264,                0.00066,                 4.0048,                 4.2628,                 4.1402,             0.00066303,             0.00066303,             0.00066303
                      9,                 2.7198,                  2.249,                 3.2352,                0.00263,                0.10606,                 0.0029,                0.00062,                  3.991,                 4.2509,                 4.1149,             0.00069049,             0.00069049,             0.00069049
                     10,                 2.4648,                 2.1698,                  3.045,                0.00074,                 0.0303,                0.00163,                0.00033,                 3.9874,                 4.2687,                 4.1192,             0.00070522,             0.00070522,             0.00070522
                     11,                 2.3085,                 2.4464,                 2.8815,                0.00071,                 0.0303,                0.01573,                0.00315,                 3.8971,                 4.1679,                 4.0493,             0.00070721,             0.00070721,             0.00070721
                     12,                 2.1915,                 2.2403,                 2.7652,                0.00622,                0.36364,                0.12054,                0.02668,                 3.2362,                 3.7224,                 3.7412,             0.00065091,             0.00065091,             0.00065091
                     13,                 2.0758,                 2.2394,                 2.7399,                 0.7398,                0.33333,                  0.159,                0.05809,                  2.918,                 3.4286,                 3.5678,             0.00065091,             0.00065091,             0.00065091
                     14,                 1.9998,                 2.0828,                 2.6708,                0.67147,                0.28655,                0.33171,                0.12467,                 2.6586,                 2.9472,                 3.2172,             0.00058017,             0.00058017,             0.00058017
                     15,                 2.0199,                 2.0572,                 2.6708,                0.47015,                0.43939,                0.52001,                0.20992,                 2.3177,                 2.3559,                  2.842,             0.00050944,             0.00050944,             0.00050944
                     16,                 1.9659,                 1.9816,                 2.6121,                0.67749,                0.41534,                0.64911,                0.27728,                 2.1021,                 2.2227,                 2.6235,              0.0004387,              0.0004387,              0.0004387
                     17,                 1.9356,                 1.9408,                 2.5433,                0.56286,                0.66667,                 0.6973,                0.30874,                 2.0095,                  2.069,                 2.6105,             0.00036797,             0.00036797,             0.00036797
                     18,                  1.912,                 1.8624,                  2.496,                0.65962,                0.84988,                0.81755,                0.39093,                 1.9411,                 1.7736,                 2.5083,             0.00029723,             0.00029723,             0.00029723
                     19,                 1.8188,                 1.7764,                 2.3954,                0.87447,                0.81924,                0.90584,                0.42317,                 1.8969,                 1.7697,                 2.4577,              0.0002265,              0.0002265,              0.0002265
                     20,                 1.8069,                 1.7264,                 2.4095,                0.82945,                0.77949,                0.91177,                0.48273,                 1.7755,                 1.8307,                 2.4039,             0.00015576,             0.00015576,             0.00015576
