                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1264,                 5.5493,                 4.3598,                      0,                      0,                      0,                      0,                 3.3798,                 5.3223,                  4.159,                      0,                      0,                      0
                      2,                 2.8941,                 5.6101,                 4.2559,                      0,                      0,                      0,                      0,                 3.3798,                 5.3217,                 4.1592,             1.1311e-06,             1.1311e-06,             1.1311e-06
                      3,                 2.8749,                 5.7355,                 4.4591,                      0,                      0,                      0,                      0,                   3.38,                 5.3222,                 4.1592,             2.1444e-06,             2.1444e-06,             2.1444e-06
                      4,                 2.7093,                 5.6064,                 4.3069,                      0,                      0,                      0,                      0,                   3.38,                 5.3228,                 4.1593,             3.0399e-06,             3.0399e-06,             3.0399e-06
                      5,                 2.9103,                 5.6562,                 4.3573,                      0,                      0,                      0,                      0,                 3.3803,                   5.32,                 4.1593,             3.8175e-06,             3.8175e-06,             3.8175e-06
                      6,                 2.9936,                 5.7166,                 4.3566,                      0,                      0,                      0,                      0,                 3.3804,                 5.3183,                 4.1595,             4.4774e-06,             4.4774e-06,             4.4774e-06
                      7,                 3.1857,                 5.6841,                 4.3877,                      0,                      0,                      0,                      0,                 3.3803,                 5.3194,                 4.1594,             5.0194e-06,             5.0194e-06,             5.0194e-06
                      8,                 2.8333,                 5.6841,                 4.1968,                      0,                      0,                      0,                      0,                 3.3803,                 5.3194,                 4.1593,             5.4437e-06,             5.4437e-06,             5.4437e-06
                      9,                 2.8167,                 5.8982,                 4.4312,                      0,                      0,                      0,                      0,                 3.3801,                 5.3209,                 4.1596,             5.7501e-06,             5.7501e-06,             5.7501e-06
                     10,                 2.5922,                 5.9081,                 4.4704,                      0,                      0,                      0,                      0,                 3.3798,                 5.3214,                 4.1596,             5.9387e-06,             5.9387e-06,             5.9387e-06
                     11,                 2.8732,                 5.7043,                 4.3332,                      0,                      0,                      0,                      0,                 3.3806,                 5.3202,                 4.1599,             6.0095e-06,             6.0095e-06,             6.0095e-06
                     12,                  2.726,                 5.7438,                 4.4221,                      0,                      0,                      0,                      0,                 3.3803,                 5.3207,                 4.1597,             5.9625e-06,             5.9625e-06,             5.9625e-06
                     13,                 2.8085,                 5.5799,                 4.2874,                      0,                      0,                      0,                      0,                 3.3801,                 5.3177,                 4.1601,             5.7977e-06,             5.7977e-06,             5.7977e-06
                     14,                 3.0734,                 5.5603,                 4.3502,                      0,                      0,                      0,                      0,                 3.3801,                 5.3168,                 4.1602,             5.5151e-06,             5.5151e-06,             5.5151e-06
                     15,                 2.8628,                 6.0341,                 4.4967,                      0,                      0,                      0,                      0,                 3.3801,                 5.3168,                 4.1601,             5.1146e-06,             5.1146e-06,             5.1146e-06
                     16,                 3.0422,                 5.6099,                 4.3137,                      0,                      0,                      0,                      0,                 3.3795,                 5.3174,                 4.1601,             4.5964e-06,             4.5964e-06,             4.5964e-06
                     17,                 2.8531,                 5.4972,                 4.2988,                      0,                      0,                      0,                      0,                 3.3791,                 5.3181,                 4.1603,             3.9603e-06,             3.9603e-06,             3.9603e-06
                     18,                  3.185,                 5.8275,                 4.3428,                      0,                      0,                      0,                      0,                 3.3791,                 5.3181,                 4.1603,             3.2065e-06,             3.2065e-06,             3.2065e-06
                     19,                 2.9807,                 5.7174,                 4.7895,                      0,                      0,                      0,                      0,                 3.3791,                  5.317,                 4.1607,             2.3348e-06,             2.3348e-06,             2.3348e-06
                     20,                 2.7247,                 5.5969,                 4.3193,                      0,                      0,                      0,                      0,                 3.3791,                  5.317,                 4.1607,             1.3453e-06,             1.3453e-06,             1.3453e-06
